Title,DOI,Publication Year,Authors,Article Type,Journal Title,Volume,Issue,Citation Count
Beyond statistical inference: A decision theory for science,https://doi.org/10.3758/BF03193962,2006,"['Kileen, Peter R.']",Theoretical and Review Articles,Psychonomic Bulletin & Review,13,4,18
Word frequency and the mixed-list paradox in immediate and delayed serial recall,https://doi.org/10.3758/BF03193987,2006,"['Morin, Caroline', 'Poirier, Marie', 'Fortin, Claudette', 'Hulme, Charles']",Brief Reports,Psychonomic Bulletin & Review,13,4,22
Additive and interactive effects of word frequency and masked repetition in the lexical decision task,https://doi.org/10.3758/BF03193979,2006,"['Kinoshita, Sachiko']",Brief Reports,Psychonomic Bulletin & Review,13,4,29
On the time course of letter perception: A masked priming ERP investigation,https://doi.org/10.3758/BF03193980,2006,"['Petit, Jean-Philippe', 'Midgley, Katherine J.', 'Holcomb, Phillip J.', 'Grainger, Jonathan']",Brief Reports,Psychonomic Bulletin & Review,13,4,85
Expertise and its embodiment: Examining the impact of sensorimotor skill expertise on the representation of action-related text,https://doi.org/10.3758/BF03193983,2006,"['Holt, Lauren E.', 'Beilock, Sian L.']",Brief Reports,Psychonomic Bulletin & Review,13,4,78
Humans’ folk physics is not enough to explain variations in their tool-using behavior,https://doi.org/10.3758/BF03193982,2006,"['Silva, Francisco J.', 'Silva, Kathleen M.']",Brief Reports,Psychonomic Bulletin & Review,13,4,15
Cross-domain transfer of quantitative discriminations: Is it all a matter of proportion?,https://doi.org/10.3758/BF03193974,2006,"['Balci, Fuat', 'Gallistel, Charles R.']",Brief Reports,Psychonomic Bulletin & Review,13,4,54
Evidence for time-based models of free recall,https://doi.org/10.3758/BF03193986,2006,"['Brown, Gordon D. A.', 'Morin, Caroline', 'Lewandowsky, Stephan']",Brief Reports,Psychonomic Bulletin & Review,13,4,32
Interpreting spatial terms involves simulating interactions,https://doi.org/10.3758/BF03193981,2006,"['Carlson, Laura', 'Kenny, Ryan']",Brief Reports,Psychonomic Bulletin & Review,13,4,14
Attention modulates the learning of multiple contingencies,https://doi.org/10.3758/BF03193975,2006,"['Rowland, Lee A.', 'Shanks, David R.']",Brief Reports,Psychonomic Bulletin & Review,13,4,33
"1/f noise in human cognition: Is it ubiquitous, and what does it mean?",https://doi.org/10.3758/BF03193989,2006,"['Farrell, Simon', 'Wagenmakers, Eric-Jan', 'Ratcliff, Roger']",Notes and Comment,Psychonomic Bulletin & Review,13,4,65
The planning and execution of short auditory sequences,https://doi.org/10.3758/BF03193985,2006,"['Keller, Peter E.', 'Koch, Iring']",Brief Reports,Psychonomic Bulletin & Review,13,4,33
"The influence of an external symbol system on number parity representation, or What’s odd about 6?",https://doi.org/10.3758/BF03193988,2006,"['Iversen, Wiebke', 'Nuerk, Hans-Christoph', 'Jäger, Ludwig', 'Willmes, Klaus']",Brief Reports,Psychonomic Bulletin & Review,13,4,27
Erratum to: The motor theory of speech perception reviewed,https://doi.org/10.3758/BF03193990,2006,"['Galantucci, B.', 'Fowler, C. A.', 'Turvey, M. T.']",Erratum,Psychonomic Bulletin & Review,13,4,3
Color singleton pop-out does not always poop out: An alternative to visual search,https://doi.org/10.3758/BF03193965,2006,"['Prinzmetal, William', 'Taylor, Nadia']",Brief Reports,Psychonomic Bulletin & Review,13,4,7
Imagination and memory: Does imagining implausible events lead to false autobiographical memories?,https://doi.org/10.3758/BF03193994,2006,"['Pezdek, Kathy', 'Blandon-Gitlin, Iris', 'Gabbay, Pamela']",Brief Reports,Psychonomic Bulletin & Review,13,5,50
Abrupt onsets cannot be ignored,https://doi.org/10.3758/BF03194012,2006,"['Christ, Shawn E.', 'Abrams, Richard A.']",Brief Reports,Psychonomic Bulletin & Review,13,5,39
Age and sex differences in children’s spatial search strategies,https://doi.org/10.3758/BF03194001,2006,"['Spetch, Marcia L.', 'Parent, Marise B.']",Brief Reports,Psychonomic Bulletin & Review,13,5,22
Outsourcing cognitive control to the environment: Adult age differences in the use of task cues,https://doi.org/10.3758/BF03193998,2006,"['Spieler, Daniel H.', 'Mayr, Ulrich', 'Lagrone, Susan']",Brief Reports,Psychonomic Bulletin & Review,13,5,42
What matters in the cued task-switching paradigm: Tasks or cues?,https://doi.org/10.3758/BF03193999,2006,"['Mayr, Ulrich']",Brief Reports,Psychonomic Bulletin & Review,13,5,54
What types of learning are enhanced by a cued recall test?,https://doi.org/10.3758/BF03194004,2006,"['Carpenter, Shana K.', 'Pashler, Harold', 'Vul, Edward']",Brief Reports,Psychonomic Bulletin & Review,13,5,142
Time course of retrieving conceptual information: A speed-accuracy trade-off study,https://doi.org/10.3758/BF03194008,2006,"['MCelree, Brian', 'Murphy, Gregory L.', 'Ochoa, Tamara']",Brief Reports,Psychonomic Bulletin & Review,13,5,13
Fruitful visual search: Inhibition of return in a virtual foraging task,https://doi.org/10.3758/BF03194015,2006,"['Thomas, Laura E.', 'Ambinder, Michael S.', 'Hsieh, Brendon', 'Levinthal, Brian', 'Crowell, James A.', 'Irwin, David E.', 'Kramer, Arthur F.', 'Lleras, Alejandro', 'Simons, Daniel J.', 'Wang, Ranxiao Frances']",Brief Reports,Psychonomic Bulletin & Review,13,5,37
A unified fielder theory for interception of moving objects either above or below the horizon,https://doi.org/10.3758/BF03194018,2006,"['Sugar, Thomas G.', 'Mcbeath, Michael K.', 'Wang, Zheng']",Brief Reports,Psychonomic Bulletin & Review,13,5,15
When the Red Sox shocked the Yankees: Comparing negative and positive memories,https://doi.org/10.3758/BF03193993,2006,"['Kensinger, Elizabeth A.', 'Schacter, Daniel L.']",Brief Reports,Psychonomic Bulletin & Review,13,5,113
"Eye movements, not hypercompatible mappings, are critical for eliminating the cost of task set reconfiguration",https://doi.org/10.3758/BF03194020,2006,"['Hunt, Amelia R.', 'Ishigami, Yoko', 'Klein, Raymond M.']",Brief Reports,Psychonomic Bulletin & Review,13,5,2
Tracking the what and why of speakers’ choices: Prosodic boundaries and the length of constituents,https://doi.org/10.3758/BF03194009,2006,"['Clifton, Charles', 'Carlson, Katy', 'Frazier, Lyn']",Brief Reports,Psychonomic Bulletin & Review,13,5,31
Do you remember proposing marriage to the Pepsi machine? False recollections from a campus walk,https://doi.org/10.3758/BF03193992,2006,"['Seamon, John G.', 'Philbin, Morgan M.', 'Harrison, Liza G.']",Brief Reports,Psychonomic Bulletin & Review,13,5,26
Inhibition of return lasts longer at repeatedly stimulated locations than at novel locations,https://doi.org/10.3758/BF03194016,2006,"['Chao, Hsuan-Fu', 'Yeh, Yei-Yu']",Brief Reports,Psychonomic Bulletin & Review,13,5,5
People over forty feel 20% younger than their age: Subjective age across the lifespan,https://doi.org/10.3758/BF03193996,2006,"['Rubin, David C.', 'Berntsen, Dorthe']",Brief Reports,Psychonomic Bulletin & Review,13,5,232
Stereotype susceptibility narrows the gender gap in imagined self-rotation performance,https://doi.org/10.3758/BF03194002,2006,"['Wraga, Maryjane', 'Duncan, Lauren', 'Jacobs, Emily C.', 'Helt, Molly', 'Church, Jessica']",Brief Reports,Psychonomic Bulletin & Review,13,5,56
Redundant visual signals boost saccade execution,https://doi.org/10.3758/BF03194021,2006,"['Turatto, Massimo', 'Betta, Elena']",Brief Reports,Psychonomic Bulletin & Review,13,5,3
I misremember it well: Why older adults are unreliable eyewitnesses,https://doi.org/10.3758/BF03193995,2006,"['Dodson, Chad S.', 'Krueger, Lacy E.']",Brief Reports,Psychonomic Bulletin & Review,13,5,65
The number line effect reflects top-down control,https://doi.org/10.3758/BF03194010,2006,"['Ristic, Jelena', 'Wright, Alissa', 'Kingstone, Alan']",Brief Reports,Psychonomic Bulletin & Review,13,5,99
Temporal attentional capture: Effects of irrelevant singletons on rapid serial visual search,https://doi.org/10.3758/BF03194013,2006,"['Dalton, Polly', 'Lavie, Nilli']",Brief Reports,Psychonomic Bulletin & Review,13,5,15
Evidence for task-specific resolution of response conflict,https://doi.org/10.3758/BF03194000,2006,"['Kiesel, Andrea', 'Kunde, Wilfried', 'Hoffmann, Joachim']",Brief Reports,Psychonomic Bulletin & Review,13,5,97
The effects of list-method directed forgetting on recognition memory,https://doi.org/10.3758/BF03194005,2006,"['Benjamin, Aaron S.']",Brief Reports,Psychonomic Bulletin & Review,13,5,35
Evidence for separate representations for action and location in implicit motor sequencing,https://doi.org/10.3758/BF03194017,2006,"['Witt, Jessica K.', 'Willingham, Daniel T.']",Brief Reports,Psychonomic Bulletin & Review,13,5,28
Grasping movement plans,https://doi.org/10.3758/BF03194019,2006,"['Rosenbaum, David A.', 'Halloran, Erin S.', 'Cohen, Rajal G.']",Brief Reports,Psychonomic Bulletin & Review,13,5,50
The attentional blink is governed by a temporary loss of control,https://doi.org/10.3758/BF03194014,2006,"['Kawahara, Jun-Ichiro', 'Kumada, Takatsune', 'di Lollo, Vincent']",Brief Reports,Psychonomic Bulletin & Review,13,5,66
Cross-alphabet and cross-modal long-term priming in Serbian and English,https://doi.org/10.3758/BF03194007,2006,"['Havelka, Jelena', 'Bowers, Jeffrey S.', 'Janković, Dragan']",Brief Reports,Psychonomic Bulletin & Review,13,5,9
When parameters collide: a warning about categorization models,https://doi.org/10.3758/BF03193991,2006,"['Smith, J. David']",Theoretical and review articles,Psychonomic Bulletin & Review,13,5,5
Dissociating viewpoint costs in mental rotation and object recognition,https://doi.org/10.3758/BF03194003,2006,"['Hayward, William G.', 'Zhou, Guomei', 'Gauthier, Isabel', 'Harris, Irina M.']",Brief Reports,Psychonomic Bulletin & Review,13,5,18
Are item-level strategy shifts abrupt and collective? Age differences in cognitive skill acquisition,https://doi.org/10.3758/BF03193997,2006,"['Touron, Dayna R.']",Brief Reports,Psychonomic Bulletin & Review,13,5,26
"Number magnitude orients attention, but not against one’s will",https://doi.org/10.3758/BF03194011,2006,"['Galfano, Giovanni', 'Rusconi, Elena', 'Umiltà, Carlo']",Brief Reports,Psychonomic Bulletin & Review,13,5,107
Discrepancy processes in prospective memory retrieval,https://doi.org/10.3758/BF03194006,2006,"['Breneiser, Jennifer E.', 'Mcdaniel, Mark A.']",Brief Reports,Psychonomic Bulletin & Review,13,5,30
The role of affordances in inhibition of return,https://doi.org/10.3758/BF03213930,2006,"['Riggio, Lucia', 'Patteri, Ilaria', 'Oppo, Annalisa', 'Buccino, Giovanni', 'Umiltà, Carlo']",Brief Report,Psychonomic Bulletin & Review,13,6,9
Motion tracking modulates capacity allocation of visual working memory,https://doi.org/10.3758/BF03213917,2006,"['Song, Joo-Hyun', 'Jiang, Yuhong V.']",Brief Report,Psychonomic Bulletin & Review,13,6,5
Attending to a misoriented word causes the eyeball to rotate in the head,https://doi.org/10.3758/BF03213908,2006,"['Pashler, Harold', 'Ramachandran, V. S.', 'Becker, Mark W.']",Brief Report,Psychonomic Bulletin & Review,13,6,6
The role of affordances in inhibition of return,https://doi.org/10.3758/BF03213930,2006,"['Riggio, Lucia', 'Patteri, Ilaria', 'Oppo, Annalisa', 'Buccino, Giovanni', 'Umiltà, Carlo']",Brief Report,Psychonomic Bulletin & Review,13,6,9
Motion tracking modulates capacity allocation of visual working memory,https://doi.org/10.3758/BF03213917,2006,"['Song, Joo-Hyun', 'Jiang, Yuhong V.']",Brief Report,Psychonomic Bulletin & Review,13,6,5
Nominations for the Editorship ofPerception & Psychophysics,https://doi.org/10.3758/BF03213932,2006,[],Notices and Announcements,Psychonomic Bulletin & Review,13,6,N/A
Self-generated visual imagery alters the mere exposure effect,https://doi.org/10.3758/BF03213925,2006,"['Craver-Lemley, Catherine', 'Bornstein, Robert F.']",Brief Report,Psychonomic Bulletin & Review,13,6,11
The lexical bias effect in bilingual speech production: Evidence for feedback between lexical and sublexical levels across languages,https://doi.org/10.3758/BF03213911,2006,"['Costa, Albert', 'Roelstraete, Bjorn', 'Hartsuiker, Robert J.']",Brief Report,Psychonomic Bulletin & Review,13,6,39
An interactive Hebbian account of lexically guided tuning of speech perception,https://doi.org/10.3758/BF03213909,2006,"['Mirman, Daniel', 'McClelland, James L.', 'Holt, Lori L.']",Brief Report,Psychonomic Bulletin & Review,13,6,60
Gaze cuing and affective judgments of objects: I like what you look at,https://doi.org/10.3758/BF03213926,2006,"['Bayliss, Andrew P.', 'Paul, Matthew A.', 'Cannon, Peter R.', 'Tipper, Steven P.']",Brief Report,Psychonomic Bulletin & Review,13,6,156
Choking under pressure and working memory capacity: When performance pressure reduces fluid intelligence,https://doi.org/10.3758/BF03213916,2006,"['Gimmig, David', 'Huguet, Pascal', 'Caverni, Jean-Paul', 'Cury, François']",Brief Report,Psychonomic Bulletin & Review,13,6,72
Development of intuitive rules: Evaluating the application of the dual-system framework to understanding children’s intuitive reasoning,https://doi.org/10.3758/BF03213907,2006,"['Osman, Magda', 'Stavy, Ruth']",Theoretical and Review Articles,Psychonomic Bulletin & Review,13,6,45
Task switching is not cue switching,https://doi.org/10.3758/BF03213918,2006,"['Altmann, Erik M.']",Brief Report,Psychonomic Bulletin & Review,13,6,33
The role of processing difficulty in the predictive utility of working memory span,https://doi.org/10.3758/BF03213915,2006,"['Bunting, Michael']",Brief Report,Psychonomic Bulletin & Review,13,6,11
Attention alters the appearance of motion coherence,https://doi.org/10.3758/BF03213931,2006,"['Liu, Taosheng', 'Fuller, Stuart', 'Carrasco, Marisa']",Brief Report,Psychonomic Bulletin & Review,13,6,64
The modulation of lexical competition by segment duration,https://doi.org/10.3758/BF03213910,2006,"['Shatzman, Keren B.', 'McQueen, James M.']",Brief Report,Psychonomic Bulletin & Review,13,6,N/A
More efficient rejection of happy than of angry face distractors in visual search,https://doi.org/10.3758/BF03213927,2006,"['Horstmann, Gernot', 'Scharlau, Ingrid', 'Ansorge, Ulrich']",Brief Report,Psychonomic Bulletin & Review,13,6,56
Improving the reliability of event-based laboratory tests of prospective memory,https://doi.org/10.3758/BF03213920,2006,"['Kelemen, William L.', 'Weinberg, W. Bailey', 'Alford, Hannah S.', 'Mulvey, Emily K.', 'Kaeochinda, Kevin F.']",Brief Report,Psychonomic Bulletin & Review,13,6,31
Dual-task influences on retrieval from semantic memory and coordination dynamics,https://doi.org/10.3758/BF03213913,2006,"['Shockley, Kevin', 'Turvey, M. T.']",Brief Report,Psychonomic Bulletin & Review,13,6,13
Category-level contributions to the alphanumeric category effect in visual search,https://doi.org/10.3758/BF03213928,2006,"['Hamilton, J. Paul', 'Mirkin, Michelle', 'Polk, Thad A.']",Brief Report,Psychonomic Bulletin & Review,13,6,13
Stimulus conflict predicts conflict adaptation in a numerical flanker task,https://doi.org/10.3758/BF03213929,2006,"['Notebaert, Wim', 'Verguts, Tom']",Brief Report,Psychonomic Bulletin & Review,13,6,42
Analogue versus propositional representation in congenitally blind individuals,https://doi.org/10.3758/BF03213924,2006,"['Fleming, Piers', 'Ball, Linden J.', 'Ormerod, Thomas C.', 'Collins, Alan F.']",Brief Report,Psychonomic Bulletin & Review,13,6,N/A
The roles of semantic similarity and proactive interference in the word length effect,https://doi.org/10.3758/BF03213912,2006,"['Goh, Winston D.', 'Goh, Chang Khiang']",Brief Report,Psychonomic Bulletin & Review,13,6,N/A
Probability as certainty: Dichotomous thinking and the misuse ofp values,https://doi.org/10.3758/BF03213921,2006,"['Hoekstra, Rink', 'Finch, Sue', 'Kiers, Henk A. L.', 'Johnson, Addie']",Brief Report,Psychonomic Bulletin & Review,13,6,64
Is retrieval success a necessary condition for retrieval-induced forgetting?,https://doi.org/10.3758/BF03213919,2006,"['Storm, Benjamin C.', 'Bjork, Elizabeth L.', 'Bjork, Robert A.', 'Nestojko, John F.']",Brief Report,Psychonomic Bulletin & Review,13,6,133
Sources of individual differences in working memory: Contributions of strategy to capacity,https://doi.org/10.3758/BF03213914,2006,"['Cokely, Edward T.', 'Kelley, Colleen M.', 'Gilchrist, Amanda L.']",Brief Report,Psychonomic Bulletin & Review,13,6,59
Executive working memory load induces inattentional blindness,https://doi.org/10.3758/BF03194041,2007,"['Fougnie, Daryl', 'Marois, René']",Brief Reports,Psychonomic Bulletin & Review,14,1,74
Illusions of competence and overestimation of associative memory for identical items: Evidence from judgments of learning,https://doi.org/10.3758/BF03194036,2007,"['Castel, Alan D.', 'McCabe, David P.', 'Roediger, Henry L.']",Brief Reports,Psychonomic Bulletin & Review,14,1,N/A
An EZ-diffusion model for response time and accuracy,https://doi.org/10.3758/BF03194023,2007,"['Wagenmakers, Eric-Jan', 'Van Der Maas, Han L. J.', 'Grasman, Raoul P. P. P.']",Theoretical and Review Articles,Psychonomic Bulletin & Review,14,1,419
Synchrony effects in automatic and controlled retrieval,https://doi.org/10.3758/BF03194027,2007,"['Yang, Lixia', 'Hasher, Lynn', 'Wilson, Daryl E.']",Brief Reports,Psychonomic Bulletin & Review,14,1,27
Visual working memory as the substrate for mental rotation,https://doi.org/10.3758/BF03194043,2007,"['Hyun, Joo-Seok', 'Luck, Steven J.']",Brief Reports,Psychonomic Bulletin & Review,14,1,126
Working memory and the guidance of visual attention: Consonance-driven orienting,https://doi.org/10.3758/BF03194042,2007,"['Huang, Liqiang', 'Pashler, Harold']",Brief Reports,Psychonomic Bulletin & Review,14,1,59
Defining task-set reconfiguration: The case of reference point switching,https://doi.org/10.3758/BF03194038,2007,"['Schneider, Darryl W.', 'Logan, Gordon D.']",Brief Reports,Psychonomic Bulletin & Review,14,1,26
Editorial,https://doi.org/10.3758/BF03194022,2007,"['Nosofsky, Robert M.']",Article,Psychonomic Bulletin & Review,14,1,N/A
"Automatic, stimulus-driven attentional capture by objecthood",https://doi.org/10.3758/BF03194045,2007,"['Kimchi, Ruth', 'Yeshurun, Yaffa', 'Cohen-Savransky, Aliza']",Brief Reports,Psychonomic Bulletin & Review,14,1,72
Collaboration can improve individual recognition memory: Evidence from immediate and delayed tests,https://doi.org/10.3758/BF03194034,2007,"['Rajaram, Suparna', 'Pereira-Pasarin, Luciane P.']",Brief Reports,Psychonomic Bulletin & Review,14,1,60
Parallel central processing between tasks: Evidence from lateralized readiness potentials,https://doi.org/10.3758/BF03194040,2007,"['Lien, Mei-Ching', 'Ruthruff, Eric', 'Hsieh, Shulan', 'Yu, Yen-Ting']",Brief Reports,Psychonomic Bulletin & Review,14,1,23
The categorization effect in hedonic contrast: Experts differ from novices,https://doi.org/10.3758/BF03194047,2007,"['Rota, Lauren M.', 'Zellner, Debra A.']",Brief Reports,Psychonomic Bulletin & Review,14,1,28
Verbal ability modulates the associative neighbors effect,https://doi.org/10.3758/BF03194032,2007,"['Ron-Kaplan, Inbal', 'Henik, Avishai']",Brief Reports,Psychonomic Bulletin & Review,14,1,N/A
Orthographic facilitation and phonological inhibition in spoken word recognition: A developmental study,https://doi.org/10.3758/BF03194031,2007,"['Ziegler, Johannes C.', 'Muneaux, Mathilde']",Brief Reports,Psychonomic Bulletin & Review,14,1,68
Erratum to: Stereotype susceptibility narrows the gender gap in imagined self-rotation performance,https://doi.org/10.3758/BF03194048,2007,"['Wraga, M.', 'Duncan, L.', 'Jacobs, E. C.', 'Helt, M.', 'Church, J.']",Erratum,Psychonomic Bulletin & Review,14,1,2
Psychotropic placebos create resistance to the misinformation effect,https://doi.org/10.3758/BF03194037,2007,"['Clifasefi, Seema L.', 'Garry, Maryanne', 'Harper, David N.', 'Sharman, Stefanie J.', 'Sutherland, Rachel']",Brief Reports,Psychonomic Bulletin & Review,14,1,17
When two heads are not better than one: Partner neglect in paired memory tasks,https://doi.org/10.3758/BF03194033,2007,"['Lima, Olivia K. A.', 'Jaswal, Vikram K.', 'Dodson, Chad S.']",Brief Reports,Psychonomic Bulletin & Review,14,1,N/A
Top-down guidance in visual search for facial expressions,https://doi.org/10.3758/BF03194044,2007,"['Hahn, Sowon', 'Gronlund, Scott D.']",Brief Reports,Psychonomic Bulletin & Review,14,1,58
Electrophysiological evidence of central interference in the control of visuospatial attention,https://doi.org/10.3758/BF03194039,2007,"['Brisson, Benoit', 'Jolicœur, Pierre']",Brief Reports,Psychonomic Bulletin & Review,14,1,57
Sequential effects in time perception,https://doi.org/10.3758/BF03194030,2007,"['Taylor, Tamsen E.', 'Lupker, Stephen J.']",Brief Reports,Psychonomic Bulletin & Review,14,1,4
Effects of redundant auditory stimuli on reaction time,https://doi.org/10.3758/BF03194025,2007,"['Schröter, Hannes', 'Ulrich, Rolf', 'Miller, Jeff']",Brief Reports,Psychonomic Bulletin & Review,14,1,37
Iconic gestures prime related concepts: An ERP study,https://doi.org/10.3758/BF03194028,2007,"['Wu, Ying Choon', 'Coulson, Seana']",Brief Reports,Psychonomic Bulletin & Review,14,1,60
Orthogonal cross-task compatibility: Abstract spatial coding in dual tasks,https://doi.org/10.3758/BF03194026,2007,"['Koch, Iring', 'Jolicoeur, Pierre']",Brief Reports,Psychonomic Bulletin & Review,14,1,7
Homophonic and semantic priming of Japanese kanji words: A time course study,https://doi.org/10.3758/BF03194029,2007,"['Chen, Hsin-Chin', 'Yamauchi, Takashi', 'Tamaoka, Katsuo', 'Vaid, Jyotsna']",Brief Reports,Psychonomic Bulletin & Review,14,1,26
Gender differences in object location memory: A meta-analysis,https://doi.org/10.3758/BF03194024,2007,"['Voyer, Daniel', 'Postma, Albert', 'Brake, Brandy', 'Imperato-McGinley, Julianne']",Theoretical and Review Articles,Psychonomic Bulletin & Review,14,1,182
"Working memory, math performance, and math anxiety",https://doi.org/10.3758/BF03194059,2007,"['Ashcraft, Mark H.', 'Krause, Jeremy A.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,376
Sequential effects in time perception,https://doi.org/10.3758/BF03194030,2007,"['Taylor, Tamsen E.', 'Lupker, Stephen J.']",Brief Reports,Psychonomic Bulletin & Review,14,1,4
Is the mind inherently forward looking? Comparing prediction and retrodiction,https://doi.org/10.3758/BF03194067,2007,"['Jones, Jason', 'Pashler, Harold']",Brief Reports,Psychonomic Bulletin & Review,14,2,23
The promise and perils of self-regulated study,https://doi.org/10.3758/BF03194055,2007,"['Kornell, Nate', 'Bjork, Robert A.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,328
Learning how to learn: Can experiencing the outcome of different encoding strategies enhance subsequent encoding?,https://doi.org/10.3758/BF03194053,2007,"['Bjork, Elizabeth Ligon', 'de Winstanley, Patricia Ann', 'Storm, Benjamin C.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,11
“Just another pretty face”: A multidimensional scaling approach to face attractiveness and variability,https://doi.org/10.3758/BF03194079,2007,"['Potter, Timothy', 'Corneille, Olivier', 'Ruys, Kirsten I.', 'Rhodes, Gillian']",Brief Reports,Psychonomic Bulletin & Review,14,2,34
Editorial,https://doi.org/10.3758/BF03194049,2007,"['McDaniel, Mark A.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,5
Enhancing learning and retarding forgetting: Choices and consequences,https://doi.org/10.3758/BF03194050,2007,"['Pashler, Harold', 'Rohrer, Doug', 'Cepeda, Nicholas J.', 'Carpenter, Shana K.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,181
Properties of the organization of memory for people: Evidence from dream reports,https://doi.org/10.3758/BF03194063,2007,"['Schweickert, Richard']",Brief Reports,Psychonomic Bulletin & Review,14,2,12
Perceived object trajectories during occlusion constrain visual statistical learning,https://doi.org/10.3758/BF03194046,2007,"['Fiser, József', 'Scholl, Brian J.', 'Aslin, Richard N.']",Brief Reports,Psychonomic Bulletin & Review,14,1,25
Rotational kinematics influence multimodal perception of heaviness,https://doi.org/10.3758/BF03194078,2007,"['Streit, Matthew', 'Shockley, Kevin', 'Riley, Michael A.', 'Morris, Anthony W.']",Brief Reports,Psychonomic Bulletin & Review,14,2,24
Cognitive Tutor: Applied research in mathematics education,https://doi.org/10.3758/BF03194060,2007,"['Ritter, Steven', 'Anderson, John R.', 'Koedinger, Kenneth R.', 'Corbett, Albert']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,221
Metacomprehension for educationally relevant materials: Dramatic effects of encoding-retrieval interactions,https://doi.org/10.3758/BF03194054,2007,"['Thomas, Ayanna K.', 'Mcdaniel, Mark A.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,32
The memorial consequences of multiple-choice testing,https://doi.org/10.3758/BF03194051,2007,"['Marsh, Elizabeth J.', 'Roediger, Henry L.', 'Bjork, Robert A.', 'Bjork, Elizabeth L.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,98
Does remembering emotional items impair recall of same-emotion items?,https://doi.org/10.3758/BF03194065,2007,"['Sison, Jo Ann G.', 'Mather, Mara']",Brief Reports,Psychonomic Bulletin & Review,14,2,11
Distractor interference stays constant despite variation in working memory load,https://doi.org/10.3758/BF03194069,2007,"['Chen, Zhe', 'Chan, Celestien C.']",Brief Reports,Psychonomic Bulletin & Review,14,2,N/A
Simon says: Reliability and the role of working memory and attentional control in the Simon task,https://doi.org/10.3758/BF03194070,2007,"['Borgmann, Karl W. U.', 'Risko, Evan F.', 'Stolz, Jennifer A.', 'Besner, Derek']",Brief Reports,Psychonomic Bulletin & Review,14,2,27
New objects can capture attention without a unique luminance transient,https://doi.org/10.3758/BF03194074,2007,"['Davoli, Christopher C.', 'Suszko, Jason W.', 'Abrams, Richard A.']",Brief Reports,Psychonomic Bulletin & Review,14,2,29
Iterated learning: Intergenerational knowledge transmission reveals inductive biases,https://doi.org/10.3758/BF03194066,2007,"['Kalish, Michael L.', 'Griffiths, Thomas L.', 'Lewandowsky, Stephan']",Brief Reports,Psychonomic Bulletin & Review,14,2,148
Inhibitory tagging in inhibition of return: Evidence from flanker interference with multiple distractor features,https://doi.org/10.3758/BF03194071,2007,"['Vivas, Ana B.', 'Fuentes, Luis J.', 'Estevez, Angeles F.', 'Humphreys, Glyn W.']",Brief Reports,Psychonomic Bulletin & Review,14,2,13
Did you witness demonic possession? A response time analysis of the relationship between event plausibility and autobiographical beliefs,https://doi.org/10.3758/BF03194064,2007,"['Mazzoni, Giuliana']",Brief Reports,Psychonomic Bulletin & Review,14,2,9
Generalizing test-enhanced learning from the laboratory to the classroom,https://doi.org/10.3758/BF03194052,2007,"['Mcdaniel, Mark A.', 'Roediger, Henry L.', 'Mcdermott, Kathleen B.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,212
Nontarget objects can influence perceptual processes during object recognition,https://doi.org/10.3758/BF03194073,2007,"['Auckland, Mark E.', 'Cave, Kyle R.', 'Donnelly, Nick']",Brief Reports,Psychonomic Bulletin & Review,14,2,48
Controlling lexical contributions to the reading of pseudohomophones,https://doi.org/10.3758/BF03194080,2007,"['Kwantes, Peter J.', 'Marmurek, Harvey H. C.']",Brief Reports,Psychonomic Bulletin & Review,14,2,6
Counting the cost of an absent mind: Mind wandering as an underrecognized influence on educational performance,https://doi.org/10.3758/BF03194057,2007,"['Smallwood, Jonathan', 'Fishman, Daniel J.', 'Schooler, Jonathan W.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,248
Visual layout modulates Fitts’s law: The importance of first and last positions,https://doi.org/10.3758/BF03194076,2007,"['Pratt, Jay', 'Adam, Jos J.', 'Fischer, Martin H.']",Brief Reports,Psychonomic Bulletin & Review,14,2,26
The time required for perceptual (nonmotoric) processing in IOR,https://doi.org/10.3758/BF03194072,2007,"['Spalek, Thomas M.', 'Di Lollo, Vincent']",Brief Reports,Psychonomic Bulletin & Review,14,2,9
"Amnesia, rehearsal, and temporal distinctiveness models of recall",https://doi.org/10.3758/BF03194061,2007,"['Brown, Gordon D. A.', 'Sala, Sergio Della', 'Foster, Jonathan K.', 'Vousden, Janet I.']",Brief Reports,Psychonomic Bulletin & Review,14,2,21
Improving the writing skills of college students,https://doi.org/10.3758/BF03194058,2007,"['Kellogg, Ronald T.', 'Raulerson, Bascom A.']",Applying cognitive psychology to education,Psychonomic Bulletin & Review,14,2,84
