Title,Article URL,Authors,PDF Link,Article Type
Beyond Vicary’s fantasies: The impact of subliminal priming and brand choice,https://www.sciencedirect.com/science/article/pii/S0022103105001496,"Johan C. Karremans, Wolfgang Stroebe, Jasper Claus",https://www.sciencedirect.com/science/article/pii/S0022103105001496/pdfft?md5=20cbbca7b3304f5f2a3049beb6d6dcd5&pid=1-s2.0-S0022103105001496-main.pdf,Short communication
"Backward affective priming: Even when the prime is late, people still evaluate",https://www.sciencedirect.com/science/article/pii/S0022103105001502,"Daniel A. Fockenberg, Sander L. Koole, Gün R. Semin",https://www.sciencedirect.com/science/article/pii/S0022103105001502/pdfft?md5=aedd6a9053c3f0cb92ba11f0d5a0e131&pid=1-s2.0-S0022103105001502-main.pdf,Short communication
Volume Author Index,https://www.sciencedirect.com/science/article/pii/S0022103106001272,,https://www.sciencedirect.com/science/article/pii/S0022103106001272/pdfft?md5=7cec5b139345b3861adb029b971f89d2&pid=1-s2.0-S0022103106001272-main.pdf,N/A
Volume TOC,https://www.sciencedirect.com/science/article/pii/S0022103106001302,,https://www.sciencedirect.com/science/article/pii/S0022103106001302/pdfft?md5=08a975a88958276fb38f5bdf88aea855&pid=1-s2.0-S0022103106001302-main.pdf,N/A
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103106001697,,https://www.sciencedirect.com/science/article/pii/S0022103106001697/pdfft?md5=c5632a2a096d0ce5606e2abaade90fe6&pid=1-s2.0-S0022103106001697-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S0022103106001703,,https://www.sciencedirect.com/science/article/pii/S0022103106001703/pdfft?md5=d22b007bc3321426e1074fa865230084&pid=1-s2.0-S0022103106001703-main.pdf,N/A
"Gassing, braking, and self-regulating: Error self-regulation, well-being, and goal-related processes",https://www.sciencedirect.com/science/article/pii/S0022103106000795,Michael D. Robinson,https://www.sciencedirect.com/science/article/pii/S0022103106000795/pdfft?md5=7a49d58adfbc8eba63dd63c593a54f27&pid=1-s2.0-S0022103106000795-main.pdf,Research article
Contextual contrast and perceived knowledge: Exploring the implications for persuasion,https://www.sciencedirect.com/science/article/pii/S0022103105001472,"Zakary L. Tormala, Richard E. Petty",https://www.sciencedirect.com/science/article/pii/S0022103105001472/pdfft?md5=19831f9a4d3978e14b1bf7d3103afa0c&pid=1-s2.0-S0022103105001472-main.pdf,Research article
"Victim’s innocence, social categorization, and the threat to the belief in a just world",https://www.sciencedirect.com/science/article/pii/S0022103106000035,"Isabel Correia, Jorge Vala, Patrícia Aguiar",https://www.sciencedirect.com/science/article/pii/S0022103106000035/pdfft?md5=5de880b457a322c409da5e06eeb11718&pid=1-s2.0-S0022103106000035-main.pdf,Research article
The renegotiation of social identities in response to a threat to self-evaluation maintenance,https://www.sciencedirect.com/science/article/pii/S0022103106000722,Matthew T. Crawford,https://www.sciencedirect.com/science/article/pii/S0022103106000722/pdfft?md5=5da60f87368acde5d08cb2a040a30784&pid=1-s2.0-S0022103106000722-main.pdf,Research article
Mindsets and pre-conscious open-mindedness to incidental information,https://www.sciencedirect.com/science/article/pii/S0022103105001538,"Kentaro Fujita, Peter M. Gollwitzer, Gabriele Oettingen",https://www.sciencedirect.com/science/article/pii/S0022103105001538/pdfft?md5=4932f01026b8bb4a8d00f5eb8c9d58bf&pid=1-s2.0-S0022103105001538-main.pdf,Research article
Violence restrained: Effects of self-regulation and its depletion on aggression,https://www.sciencedirect.com/science/article/pii/S0022103105001551,"C. Nathan DeWall, Roy F. Baumeister, Tyler F. Stillman, Matthew T. Gailliot",https://www.sciencedirect.com/science/article/pii/S0022103105001551/pdfft?md5=fe05b06b9e15d0072653b690f36c496e&pid=1-s2.0-S0022103105001551-main.pdf,Research article
Experience in integrative negotiations: What needs to be learned?,https://www.sciencedirect.com/science/article/pii/S0022103106000060,"Simone Moran, Ilana Ritov",https://www.sciencedirect.com/science/article/pii/S0022103106000060/pdfft?md5=0ce35f4b777b88adab8ea05b2993d6ff&pid=1-s2.0-S0022103106000060-main.pdf,Research article
How people cope with uncertainty due to chance or deception,https://www.sciencedirect.com/science/article/pii/S0022103106000588,"Yaacov Schul, Ruth Mayo, Eugene Burnstein, Naomi Yahalom",https://www.sciencedirect.com/science/article/pii/S0022103106000588/pdfft?md5=651c6240b8829adc35df3f5cbed6fa54&pid=1-s2.0-S0022103106000588-main.pdf,Research article
Consistency-based compliance across cultures,https://www.sciencedirect.com/science/article/pii/S0022103105000521,"Petia K. Petrova, Robert B. Cialdini, Stephen J. Sills",https://www.sciencedirect.com/science/article/pii/S0022103105000521/pdfft?md5=d90dfde7cff29c52ef9bf6d53e05f010&pid=1-s2.0-S0022103105000521-main.pdf,Short communication
Language and persuasion: Tag questions as powerless speech or as interpreted in context,https://www.sciencedirect.com/science/article/pii/S0022103106000801,"Kevin L. Blankenship, Traci Y. Craig",https://www.sciencedirect.com/science/article/pii/S0022103106000801/pdfft?md5=118c8a4c29a04629bbb8d09925b18e31&pid=1-s2.0-S0022103106000801-main.pdf,Short communication
Unconscious authorship ascription: The effects of success and effect-specific information priming on experienced authorship,https://www.sciencedirect.com/science/article/pii/S002210310500154X,Henk Aarts,https://www.sciencedirect.com/science/article/pii/S002210310500154X/pdfft?md5=55abdd94555bcde0ed12f5ef581146b2&pid=1-s2.0-S002210310500154X-main.pdf,Short communication
Situational disengagement and persistence in the face of adversity,https://www.sciencedirect.com/science/article/pii/S0022103105001575,"A. David Nussbaum, Claude M. Steele",https://www.sciencedirect.com/science/article/pii/S0022103105001575/pdfft?md5=8d77414c677ea84add9312c427b12ad0&pid=1-s2.0-S0022103105001575-main.pdf,Short communication
"Uncertainty, entitativity, and group identification",https://www.sciencedirect.com/science/article/pii/S0022103105001563,"Michael A. Hogg, David K. Sherman, Joel Dierselhuis, Angela T. Maitner, Graham Moffitt",https://www.sciencedirect.com/science/article/pii/S0022103105001563/pdfft?md5=03875c755906e5d32134078d9cb1e286&pid=1-s2.0-S0022103105001563-main.pdf,Short communication
The effect of level of construal on the temporal distance of activity enactment,https://www.sciencedirect.com/science/article/pii/S0022103106000023,"Nira Liberman, Yaacov Trope, Sean M. McCrea, Steven J. Sherman",https://www.sciencedirect.com/science/article/pii/S0022103106000023/pdfft?md5=8770d5189ccb93f0f69ec72d0d21c826&pid=1-s2.0-S0022103106000023-main.pdf,Short communication
Resistance to persuasion as self-regulation: Ego-depletion and its effects on attitude change processes,https://www.sciencedirect.com/science/article/pii/S0022103106000047,"S. Christian Wheeler, Pablo Briñol, Anthony D. Hermann",https://www.sciencedirect.com/science/article/pii/S0022103106000047/pdfft?md5=ba930f29b024b9b7099c8d7947861d38&pid=1-s2.0-S0022103106000047-main.pdf,Short communication
Fluctuations in state implicit self-esteem in response to daily negative events,https://www.sciencedirect.com/science/article/pii/S0022103106000059,"Tracy DeHart, Brett W. Pelham",https://www.sciencedirect.com/science/article/pii/S0022103106000059/pdfft?md5=95a7a213f97cd20b83a69af4ef949077&pid=1-s2.0-S0022103106000059-main.pdf,Short communication
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103107000091,,https://www.sciencedirect.com/science/article/pii/S0022103107000091/pdfft?md5=1de9e573e581e4831cf467084651a25b&pid=1-s2.0-S0022103107000091-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S0022103107000108,,https://www.sciencedirect.com/science/article/pii/S0022103107000108/pdfft?md5=c803ab6244ac077887e7e3598ee39d36&pid=1-s2.0-S0022103107000108-main.pdf,N/A
Editorial,https://www.sciencedirect.com/science/article/pii/S0022103107000303,"Joel Cooper, Hart Blanton, Jamin Halberstadt, Michael Hogg, ... Kipling Williams",https://www.sciencedirect.com/science/article/pii/S0022103107000303/pdfft?md5=cd8053b6c02a01c957e5c333da597b7b&pid=1-s2.0-S0022103107000303-main.pdf,Editorial
“To eat or not to be eaten?” Collective risk-monitoring in groups,https://www.sciencedirect.com/science/article/pii/S0022103106000308,"Tatsuya Kameda, Ryo Tamura",https://www.sciencedirect.com/science/article/pii/S0022103106000308/pdfft?md5=d0329a537c4bb817e4554bbd869a79b8&pid=1-s2.0-S0022103106000308-main.pdf,Research article
What do men and women want in a partner? Are educated partners always more desirable?,https://www.sciencedirect.com/science/article/pii/S0022103106000345,Tobias Greitemeyer,https://www.sciencedirect.com/science/article/pii/S0022103106000345/pdfft?md5=a8b93c1d5a4bd592a961cdb16f97a224&pid=1-s2.0-S0022103106000345-main.pdf,Research article
People as intuitive prosecutors: The impact of social-control goals on attributions of responsibility,https://www.sciencedirect.com/science/article/pii/S0022103106000357,"Philip E. Tetlock, Penny S. Visser, Ramadhar Singh, Mark Polifroni, ... Phillip Rescober",https://www.sciencedirect.com/science/article/pii/S0022103106000357/pdfft?md5=c27cb0afc934add81d5c668f02af2e29&pid=1-s2.0-S0022103106000357-main.pdf,Research article
Interactional justice and the fair process effect: The role of outcome uncertainty,https://www.sciencedirect.com/science/article/pii/S0022103106000576,"Michael K. Hui, Kevin Au, Xiande Zhao",https://www.sciencedirect.com/science/article/pii/S0022103106000576/pdfft?md5=fc97634028caa3eda382cd4fd3409cb8&pid=1-s2.0-S0022103106000576-main.pdf,Research article
"I like it, because I like myself: Associative self-anchoring and post-decisional change of implicit evaluations",https://www.sciencedirect.com/science/article/pii/S002210310600059X,"Bertram Gawronski, Galen V. Bodenhausen, Andrew P. Becker",https://www.sciencedirect.com/science/article/pii/S002210310600059X/pdfft?md5=0ee0c9d3dc9ba3d3bd569e777a93e603&pid=1-s2.0-S002210310600059X-main.pdf,Research article
The perseverance effect in the debriefing paradigm: Replication and extension,https://www.sciencedirect.com/science/article/pii/S002210310600031X,"Cathy McFarland, Adeline Cheam, Roger Buehler",https://www.sciencedirect.com/science/article/pii/S002210310600031X/pdfft?md5=6c0e8770148cc04aa6c1615c8b43fdc3&pid=1-s2.0-S002210310600031X-main.pdf,Short communication
Posing with the flag: Trait-specific effects of symbols on person perception,https://www.sciencedirect.com/science/article/pii/S0022103106000072,"Donal E. Carlston, Lynda Mae",https://www.sciencedirect.com/science/article/pii/S0022103106000072/pdfft?md5=ebd459845a1d2915ec8b5d4927211368&pid=1-s2.0-S0022103106000072-main.pdf,Short communication
The effects of message quality and congruency on perceptions of tailored health communications,https://www.sciencedirect.com/science/article/pii/S0022103106000084,"John A. Updegraff, David K. Sherman, Faith S. Luyster, Traci L. Mann",https://www.sciencedirect.com/science/article/pii/S0022103106000084/pdfft?md5=d57376d3db520fd6ab77888089071a14&pid=1-s2.0-S0022103106000084-main.pdf,Short communication
Completed vs. interrupted priming: Reduced accessibility from post-fulfillment inhibition,https://www.sciencedirect.com/science/article/pii/S0022103106000266,"Nira Liberman, Jens Förster, E. Tory Higgins",https://www.sciencedirect.com/science/article/pii/S0022103106000266/pdfft?md5=c930c8470789adcbf415aa3f162a8900&pid=1-s2.0-S0022103106000266-main.pdf,Short communication
Trait expectancies and stereotype expectancies have the same effect on person memory,https://www.sciencedirect.com/science/article/pii/S0022103106000205,"Jeremy D. Heider, Cory R. Scherer, John J. Skowronski, Sarah E. Wood, ... Jessica L. Hartnett",https://www.sciencedirect.com/science/article/pii/S0022103106000205/pdfft?md5=2b88511a08d7e0fb38199e5e846bb7a1&pid=1-s2.0-S0022103106000205-main.pdf,Short communication
Status generalization in context: The moderating role of groups,https://www.sciencedirect.com/science/article/pii/S0022103106000254,Julian Oldmeadow,https://www.sciencedirect.com/science/article/pii/S0022103106000254/pdfft?md5=aadfffe6f5a3ffc6ea60c3711699b1a8&pid=1-s2.0-S0022103106000254-main.pdf,Short communication
How to turn a hawk into a dove and vice versa: Interactions between emotions and goals in a give-some dilemma game,https://www.sciencedirect.com/science/article/pii/S0022103106000278,"R.M.A. Nelissen, A.J.M. Dijker, N.K. deVries",https://www.sciencedirect.com/science/article/pii/S0022103106000278/pdfft?md5=7fba11ac44518e66026b5a6bfedcb358&pid=1-s2.0-S0022103106000278-main.pdf,Short communication
Auditory Stroop reveals implicit gender associations in adults and children,https://www.sciencedirect.com/science/article/pii/S0022103106000291,"Steven B. Most, Anne Verbeck Sorber, Joseph G. Cunningham",https://www.sciencedirect.com/science/article/pii/S0022103106000291/pdfft?md5=6b6a9c05a3a130c579f845148f311d22&pid=1-s2.0-S0022103106000291-main.pdf,Short communication
How do implementation intentions promote goal attainment? A test of component processes,https://www.sciencedirect.com/science/article/pii/S002210310600028X,"Thomas L. Webb, Paschal Sheeran",https://www.sciencedirect.com/science/article/pii/S002210310600028X/pdfft?md5=cb362b85e99f479d3516492a63dcd8cc&pid=1-s2.0-S002210310600028X-main.pdf,Short communication
Are the windows to the soul the same in the East and West? Cultural differences in using the eyes and mouth as cues to recognize emotions in Japan and the United States,https://www.sciencedirect.com/science/article/pii/S0022103106000321,"Masaki Yuki, William W. Maddux, Takahiko Masuda",https://www.sciencedirect.com/science/article/pii/S0022103106000321/pdfft?md5=d320d5d25d487f104fd6619c3043e4ac&pid=1-s2.0-S0022103106000321-main.pdf,Short communication
In search of the nonconscious sources of goal pursuit: Accessibility and positive affective valence of the goal state,https://www.sciencedirect.com/science/article/pii/S0022103106000369,"Ruud Custers, Henk Aarts",https://www.sciencedirect.com/science/article/pii/S0022103106000369/pdfft?md5=665957a6161f7da4a55f35ebb6ad04f2&pid=1-s2.0-S0022103106000369-main.pdf,Short communication
Positive and negative associations underlying ambivalent attitudes,https://www.sciencedirect.com/science/article/pii/S0022103106000412,"Yaël de Liver, Joop van der Pligt, Daniël Wigboldus",https://www.sciencedirect.com/science/article/pii/S0022103106000412/pdfft?md5=12c75123c46d984726a797376297e953&pid=1-s2.0-S0022103106000412-main.pdf,Short communication
Team allegiance can lead to both optimistic and pessimistic predictions,https://www.sciencedirect.com/science/article/pii/S0022103106000394,"Zlatan Krizan, Paul D. Windschitl",https://www.sciencedirect.com/science/article/pii/S0022103106000394/pdfft?md5=d63e4fc42486d40f3cad3816f6c96267&pid=1-s2.0-S0022103106000394-main.pdf,Short communication
Categorization and individuation in the cross-race recognition deficit: Toward a solution to an insidious problem,https://www.sciencedirect.com/science/article/pii/S0022103106000382,"Kurt Hugenberg, Jennifer Miller, Heather M. Claypool",https://www.sciencedirect.com/science/article/pii/S0022103106000382/pdfft?md5=24aeb9aed248b000806a20ac392ce11a&pid=1-s2.0-S0022103106000382-main.pdf,Short communication
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103107000455,,https://www.sciencedirect.com/science/article/pii/S0022103107000455/pdfft?md5=a05859af26327c9ec22b83ea86866cd6&pid=1-s2.0-S0022103107000455-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S0022103107000467,,https://www.sciencedirect.com/science/article/pii/S0022103107000467/pdfft?md5=b9578da0a31bed7a094a71555ed3099e&pid=1-s2.0-S0022103107000467-main.pdf,N/A
Priming meritocracy and the psychological justification of inequality,https://www.sciencedirect.com/science/article/pii/S0022103106000904,"Shannon K. McCoy, Brenda Major",https://www.sciencedirect.com/science/article/pii/S0022103106000904/pdfft?md5=72efa07eb65ed27b4b6e1813ff013ae7&pid=1-s2.0-S0022103106000904-main.pdf,Research article
The impact of pictures on narrative- and list-based impression formation: A process interference model,https://www.sciencedirect.com/science/article/pii/S0022103106000746,"Rashmi Adaval, Linda M. Isbell, Robert S. Wyer",https://www.sciencedirect.com/science/article/pii/S0022103106000746/pdfft?md5=75c81ba2399db6a7068b81a4d2f2dac1&pid=1-s2.0-S0022103106000746-mainext.pdf,Research article
The deautomatization of accessible attitudes,https://www.sciencedirect.com/science/article/pii/S0022103106000771,"David M. Sanbonmatsu, Steven S. Posavac, Sam Vanous, Edward A. Ho, Russell H. Fazio",https://www.sciencedirect.com/science/article/pii/S0022103106000771/pdfft?md5=1fe2d63113cee36a5b0dd16368ee0e04&pid=1-s2.0-S0022103106000771-main.pdf,Research article
Restoring the self: Positive affect helps improve self-regulation following ego depletion,https://www.sciencedirect.com/science/article/pii/S0022103106000862,"Dianne M. Tice, Roy F. Baumeister, Dikla Shmueli, Mark Muraven",https://www.sciencedirect.com/science/article/pii/S0022103106000862/pdfft?md5=4bca26564e2af2950f83753b461d1ba1&pid=1-s2.0-S0022103106000862-main.pdf,Research article
A grotesque and dark beauty: How moral identity and mechanisms of moral disengagement influence cognitive and emotional reactions to war,https://www.sciencedirect.com/science/article/pii/S0022103106000953,"Karl Aquino, Americus Reed, Stefan Thau, Dan Freeman",https://www.sciencedirect.com/science/article/pii/S0022103106000953/pdfft?md5=fe1fcb9043e87c5e12eb082ce10c713b&pid=1-s2.0-S0022103106000953-main.pdf,Research article
"Faulty assumptions: A comment on Blanton, Jaccard, Gonzales, and Christie (2006)",https://www.sciencedirect.com/science/article/pii/S0022103106001648,"Brian A. Nosek, N. Sriram",https://www.sciencedirect.com/science/article/pii/S0022103106001648/pdfft?md5=5b41bbff20349bcfacd861deb10e6cb7&pid=1-s2.0-S0022103106001648-main.pdf,Discussion
"Plausible assumptions, questionable assumptions and post hoc rationalizations: Will the real IAT, please stand up?",https://www.sciencedirect.com/science/article/pii/S002210310600165X,"Hart Blanton, James Jaccard, Charlene Christie, Patricia M. Gonzales",https://www.sciencedirect.com/science/article/pii/S002210310600165X/pdfft?md5=f868230eda54ce510370f3523cabda30&pid=1-s2.0-S002210310600165X-main.pdf,Discussion
Creative innovation or crazy irrelevance? The contribution of group norms and social identity to creative behavior,https://www.sciencedirect.com/science/article/pii/S0022103106000436,"Inmaculada Adarves-Yorno, Tom Postmes, S. Alexander Haslam",https://www.sciencedirect.com/science/article/pii/S0022103106000436/pdfft?md5=a9db301793ff965d1f273012e311e7f3&pid=1-s2.0-S0022103106000436-main.pdf,Short communication
Motivational influences on compliance with and consequences of instructions to suppress stereotypes,https://www.sciencedirect.com/science/article/pii/S0022103106000400,Natalie A. Wyer,https://www.sciencedirect.com/science/article/pii/S0022103106000400/pdfft?md5=6d7f759bb4d744cbb8164051d991255f&pid=1-s2.0-S0022103106000400-main.pdf,Short communication
Testing sociometer theory: Self-esteem and the importance of acceptance for social decision-making,https://www.sciencedirect.com/science/article/pii/S0022103106000424,"Danu B. Anthony, Joanne V. Wood, John G. Holmes",https://www.sciencedirect.com/science/article/pii/S0022103106000424/pdfft?md5=895606f52b6953842508e4bbda8e5c60&pid=1-s2.0-S0022103106000424-main.pdf,Short communication
Power and the suppression of unwanted thoughts: Does control over others decrease control over the self?,https://www.sciencedirect.com/science/article/pii/S0022103106000448,Ana Guinote,https://www.sciencedirect.com/science/article/pii/S0022103106000448/pdfft?md5=cade2a88023114976168df5140653fec&pid=1-s2.0-S0022103106000448-main.pdf,Short communication
Functions of attitudes towards ethnic groups: Effects of level of abstraction,https://www.sciencedirect.com/science/article/pii/S0022103106000734,"Susan E. Watt, Gregory R. Maio, Kerry Rees, Miles Hewstone",https://www.sciencedirect.com/science/article/pii/S0022103106000734/pdfft?md5=2d211be259af283b37f21fb9f65b2726&pid=1-s2.0-S0022103106000734-main.pdf,Short communication
Keeping up impressions: Inferential rules for impression change across the Big Five,https://www.sciencedirect.com/science/article/pii/S0022103106000758,"Lara K. Kammrath, Daniel R. Ames, Abigail A. Scholer",https://www.sciencedirect.com/science/article/pii/S0022103106000758/pdfft?md5=37d2f500062efeccef3bb9caacbca5c0&pid=1-s2.0-S0022103106000758-main.pdf,Short communication
Basic human values: Inter-value structure in memory,https://www.sciencedirect.com/science/article/pii/S002210310600076X,"Ali Pakizeh, Jochen E. Gebauer, Gregory R. Maio",https://www.sciencedirect.com/science/article/pii/S002210310600076X/pdfft?md5=27a2808c74f21e5d7e603e8b7d7bc943&pid=1-s2.0-S002210310600076X-main.pdf,Short communication
Limiting the spread of spontaneous trait transference,https://www.sciencedirect.com/science/article/pii/S0022103106000710,"Matthew T. Crawford, John J. Skowronski, Chris Stiff",https://www.sciencedirect.com/science/article/pii/S0022103106000710/pdfft?md5=dcf6fb3d857fa1fc664800c59e77a338&pid=1-s2.0-S0022103106000710-main.pdf,Short communication
Probability as a psychological distance: Construal and preferences,https://www.sciencedirect.com/science/article/pii/S0022103106000709,"Alexander Todorov, Amir Goren, Yaacov Trope",https://www.sciencedirect.com/science/article/pii/S0022103106000709/pdfft?md5=68123ef301958fcb3e57a2c7f4b28f72&pid=1-s2.0-S0022103106000709-main.pdf,Short communication
Temporal distance and ease of retrieval,https://www.sciencedirect.com/science/article/pii/S0022103106000874,"Stefan M. Herzog, Jochim Hansen, Michaela Wänke",https://www.sciencedirect.com/science/article/pii/S0022103106000874/pdfft?md5=ab122f616122f6b433800e124d999dfe&pid=1-s2.0-S0022103106000874-main.pdf,Short communication
The effect of video game violence on physiological desensitization to real-life violence,https://www.sciencedirect.com/science/article/pii/S0022103106000825,"Nicholas L. Carnagey, Craig A. Anderson, Brad J. Bushman",https://www.sciencedirect.com/science/article/pii/S0022103106000825/pdfft?md5=1f436400d2633f3b2e5b52bbb50489d5&pid=1-s2.0-S0022103106000825-mainext.pdf,Short communication
"And deplete us not into temptation: Automatic attitudes, dietary restraint, and self-regulatory resources as determinants of eating behavior",https://www.sciencedirect.com/science/article/pii/S0022103106000837,"Wilhelm Hofmann, Wolfgang Rauch, Bertram Gawronski",https://www.sciencedirect.com/science/article/pii/S0022103106000837/pdfft?md5=3a2acfaf936f597681ac963a6b43134f&pid=1-s2.0-S0022103106000837-main.pdf,Short communication
Unfair treatment and self-regulatory focus,https://www.sciencedirect.com/science/article/pii/S0022103106000965,"Daphna Oyserman, Ayse K. Uskul, Nicholas Yoder, Randy M. Nesse, David R. Williams",https://www.sciencedirect.com/science/article/pii/S0022103106000965/pdfft?md5=af8b3892d020b026e2551356ef62b799&pid=1-s2.0-S0022103106000965-main.pdf,Short communication
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103107000753,,https://www.sciencedirect.com/science/article/pii/S0022103107000753/pdfft?md5=c71be102655cb4acab83af4403cb82cd&pid=1-s2.0-S0022103107000753-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S0022103107000765,,https://www.sciencedirect.com/science/article/pii/S0022103107000765/pdfft?md5=e714077144a31547c9257b6a7ddc217f&pid=1-s2.0-S0022103107000765-main.pdf,N/A
When sad is better than happy: Negative affect can improve the quality and effectiveness of persuasive messages and social influence strategies,https://www.sciencedirect.com/science/article/pii/S0022103106000850,Joseph P. Forgas,https://www.sciencedirect.com/science/article/pii/S0022103106000850/pdfft?md5=a064521e245d08eac13217d28feb5077&pid=1-s2.0-S0022103106000850-main.pdf,Research article
The carry-over effect of competition: The impact of competition on prejudice towards uninvolved outgroups,https://www.sciencedirect.com/science/article/pii/S0022103106000886,"Kai Sassenberg, Gordon B. Moskowitz, Johann Jacoby, Nina Hansen",https://www.sciencedirect.com/science/article/pii/S0022103106000886/pdfft?md5=86948182c176ab44dcd659a6edf17218&pid=1-s2.0-S0022103106000886-main.pdf,Research article
Motivated information processing and group decision-making: Effects of process accountability on information processing and decision quality,https://www.sciencedirect.com/science/article/pii/S0022103106000898,"Lotte Scholten, Daan van Knippenberg, Bernard A. Nijstad, Carsten K.W. De Dreu",https://www.sciencedirect.com/science/article/pii/S0022103106000898/pdfft?md5=2cdeb7a0bd9b481de99ff3b80d983971&pid=1-s2.0-S0022103106000898-main.pdf,Research article
Numerical representation and cross-cut role assignments: Majority members’ responses under cooperative interaction,https://www.sciencedirect.com/science/article/pii/S0022103106000928,"B. Ann Bettencourt, Lisa Molix, Amelia Talley, Janie P. Eubanks",https://www.sciencedirect.com/science/article/pii/S0022103106000928/pdfft?md5=e484e66390d5ead1896ca272d0187fef&pid=1-s2.0-S0022103106000928-main.pdf,Research article
"Valuing thoughts, ignoring behavior: The introspection illusion as a source of the bias blind spot",https://www.sciencedirect.com/science/article/pii/S0022103106000916,"Emily Pronin, Matthew B. Kugler",https://www.sciencedirect.com/science/article/pii/S0022103106000916/pdfft?md5=da5c0f0f9221a8472a78a67da8553d0f&pid=1-s2.0-S0022103106000916-main.pdf,Research article
Implementation intentions and the willful pursuit of prosocial goals in negotiations,https://www.sciencedirect.com/science/article/pii/S0022103106000941,"Roman Trötschel, Peter M. Gollwitzer",https://www.sciencedirect.com/science/article/pii/S0022103106000941/pdfft?md5=3905de9689b354b559b5a992fba3d14c&pid=1-s2.0-S0022103106000941-main.pdf,Research article
On the predictive validity of indirect attitude measures: Prediction of consumer choice behavior on the basis of affective priming in the picture–picture naming task,https://www.sciencedirect.com/science/article/pii/S0022103106001168,"Adriaan Spruyt, Dirk Hermans, Jan De Houwer, Joachim Vandekerckhove, Paul Eelen",https://www.sciencedirect.com/science/article/pii/S0022103106001168/pdfft?md5=3e02b7e74e1274f3303b73a8057dce4b&pid=1-s2.0-S0022103106001168-main.pdf,Short communication
The moderating role of attitude strength in selective exposure to information,https://www.sciencedirect.com/science/article/pii/S0022103106000783,"Laura A. Brannon, Michael J. Tagler, Alice H. Eagly",https://www.sciencedirect.com/science/article/pii/S0022103106000783/pdfft?md5=f0c596e1e2661a3d4fdd5145c181feff&pid=1-s2.0-S0022103106000783-main.pdf,Short communication
The role of egocentrism and focalism in the emotion intensity bias,https://www.sciencedirect.com/science/article/pii/S0022103106000813,"John R. Chambers, Jerry Suls",https://www.sciencedirect.com/science/article/pii/S0022103106000813/pdfft?md5=0b066f10263f4aff73fa8e0d7218b8be&pid=1-s2.0-S0022103106000813-main.pdf,Short communication
Regulatory focus and investment decisions in small groups,https://www.sciencedirect.com/science/article/pii/S0022103106000849,"Arnd Florack, Juliane Hartmann",https://www.sciencedirect.com/science/article/pii/S0022103106000849/pdfft?md5=fde309117c7ef0eafd29a3cf76bef8b5&pid=1-s2.0-S0022103106000849-main.pdf,Short communication
"Biases in research evaluation: Inflated assessment, oversight, or error-type weighting?",https://www.sciencedirect.com/science/article/pii/S002210310600093X,"Darcy A. Reich, Melanie C. Green, Timothy C. Brock, Philip E. Tetlock",https://www.sciencedirect.com/science/article/pii/S002210310600093X/pdfft?md5=9c95605db7ed5d3b2b7cca5deda63e55&pid=1-s2.0-S002210310600093X-main.pdf,Short communication
"Attitude generalization: Similarity, valence, and extremity",https://www.sciencedirect.com/science/article/pii/S0022103106000977,"Natalie J. Shook, Russell H. Fazio, J. Richard Eiser",https://www.sciencedirect.com/science/article/pii/S0022103106000977/pdfft?md5=1580e497b5704417cad95f6d9b0f27fc&pid=1-s2.0-S0022103106000977-main.pdf,Short communication
Controllability and resource dependence in automatic evaluation,https://www.sciencedirect.com/science/article/pii/S0022103106000989,"Karl Christoph Klauer, Sarah Teige-Mocigemba",https://www.sciencedirect.com/science/article/pii/S0022103106000989/pdfft?md5=e31832d77acca05faeeaa31224cad4fa&pid=1-s2.0-S0022103106000989-main.pdf,Short communication
When curiosity killed regret: Avoiding or seeking the unknown in decision-making under uncertainty,https://www.sciencedirect.com/science/article/pii/S0022103106000990,"Eric van Dijk, Marcel Zeelenberg",https://www.sciencedirect.com/science/article/pii/S0022103106000990/pdfft?md5=1f60653d1bb293729c7ed5607c55433e&pid=1-s2.0-S0022103106000990-main.pdf,Short communication
Failure to warn: How student race affects warnings of potential academic difficulty,https://www.sciencedirect.com/science/article/pii/S0022103106001028,"Jennifer Randall Crosby, Benoît Monin",https://www.sciencedirect.com/science/article/pii/S0022103106001028/pdfft?md5=e4c36b053fd311815df8d5f5c55dd221&pid=1-s2.0-S0022103106001028-main.pdf,Short communication
Controlling your mind without ironic consequences: Self-affirmation eliminates rebound effects after thought suppression,https://www.sciencedirect.com/science/article/pii/S002210310600103X,"Sander L. Koole, Ad van Knippenberg",https://www.sciencedirect.com/science/article/pii/S002210310600103X/pdfft?md5=4ef2c51ace481d0ab583186640b7c835&pid=1-s2.0-S002210310600103X-main.pdf,Short communication
